% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
15848.93192	-156.2158638	-159.5538072
16218.10097	-156.3789237	-159.6360891
16595.86907	-156.5395057	-159.7158124
16982.43652	-156.6975682	-159.7930138
17378.00829	-156.8530713	-159.867732
17782.7941	-157.0059771	-159.9400082
18197.00859	-157.1562495	-160.0098852
18620.87137	-157.3038545	-160.0774076
19054.60718	-157.4487604	-160.1426218
19498.446	-157.5909381	-160.2055752
19952.62315	-157.7303609	-160.2663169
20417.37945	-157.867005	-160.3248966
20892.96131	-158.0008492	-160.3813651
21379.6209	-158.1318755	-160.4357741
21877.61624	-158.2600689	-160.4881756
22387.21139	-158.3854173	-160.5386221
22908.67653	-158.5079121	-160.5871664
23442.28815	-158.6275478	-160.6338614
23988.32919	-158.7443224	-160.67876
24547.08916	-158.858237	-160.721915
25118.86432	-158.9692962	-160.7633788
25703.95783	-159.0775078	-160.8032037
26302.67992	-159.182883	-160.8414413
26915.34804	-159.2854361	-160.8781427
27542.28703	-159.3851849	-160.9133584
28183.82931	-159.48215	-160.9471382
28840.31503	-159.5763553	-160.979531
29512.09227	-159.6678274	-161.0105848
30199.5172	-159.7565959	-161.040347
30902.95433	-159.842693	-161.0688637
31622.7766	-159.9261535	-161.09618
32359.36569	-160.0070145	-161.1223403
33113.11215	-160.0853157	-161.1473876
33884.41561	-160.1610984	-161.1713638
34673.68505	-160.2344062	-161.1943099
35481.33892	-160.3052844	-161.2162658
36307.80548	-160.3737798	-161.2372699
37153.52291	-160.4399408	-161.2573599
38018.93963	-160.5038168	-161.276572
38904.5145	-160.5654586	-161.2949416
39810.71706	-160.6249177	-161.3125028
40738.02778	-160.6822464	-161.3292885
41686.93835	-160.7374976	-161.3453306
42657.95188	-160.7907247	-161.36066
43651.58322	-160.8419813	-161.3753064
44668.35922	-160.8913214	-161.3892984
45708.81896	-160.9387986	-161.4026637
46773.51413	-160.9844668	-161.4154289
47863.00923	-161.0283793	-161.4276197
48977.88194	-161.0705895	-161.4392607
50118.72336	-161.1111499	-161.4503757
